epoch,train_loss,train_acc,val_loss,val_acc,val_ece,lr,ips,mem_GB,time_s,model,epochs,batch,wd,amp,seed,scheduler,warmup,warmup_iters,mixup,ema,randaug,channels_last,compile,momentum,optimizer,_cfg_file,outdir
1,4.679586842803955,,4.689405483245849,0.0431,0.04178743064403534,0.1,797.9967464031505,2.773102283477783,62.65689706802368,resnet101,100,128,0.0005,True,44,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config.yaml,runs
2,4.427191541595459,,4.179930235290527,0.078,0.03183048963546753,0.1,810.365030079926,2.7741551399230957,61.700589418411255,resnet101,100,128,0.0005,True,44,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config.yaml,runs
3,4.31269507522583,,3.902484073257446,0.0925,0.03733881562948227,0.1,806.4149710466866,2.774230480194092,62.002817153930664,resnet101,100,128,0.0005,True,44,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config.yaml,runs
4,4.206721707305908,,3.6600708209991457,0.1286,0.01828969269990921,0.1,807.0877534942106,2.774305820465088,61.95213198661804,resnet101,100,128,0.0005,True,44,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config.yaml,runs
5,4.164739483795166,,3.604080836868286,0.1586,0.04713916406035423,0.1,806.781741258812,2.774381160736084,61.97463011741638,resnet101,100,128,0.0005,True,44,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config.yaml,runs
6,4.025669570007325,,3.328355748748779,0.1888,0.028278157114982605,0.1,806.9224697402439,2.77445650100708,61.96382164955139,resnet101,100,128,0.0005,True,44,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config.yaml,runs
7,3.847112391204834,,3.1860524478912353,0.2093,0.023353368043899536,0.1,806.5194568830894,2.774531841278076,61.99478459358215,resnet101,100,128,0.0005,True,44,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config.yaml,runs
8,3.680923037414551,,2.7264847946166992,0.3066,0.05058983713388443,0.1,806.273796448784,2.7746071815490723,62.013673543930054,resnet101,100,128,0.0005,True,44,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config.yaml,runs
9,3.6056279518127443,,2.767783520889282,0.2969,0.04761179909110069,0.1,807.2319693624822,2.7746825218200684,61.94006419181824,resnet101,100,128,0.0005,True,44,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config.yaml,runs
10,3.415262099609375,,2.630286158370972,0.3335,0.06291396915912628,0.1,806.0757795839647,2.7747578620910645,62.02890753746033,resnet101,100,128,0.0005,True,44,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config.yaml,runs
11,3.343820277557373,,2.4772111560821535,0.3709,0.07672463357448578,0.1,807.0252330957294,2.7748332023620605,61.955931425094604,resnet101,100,128,0.0005,True,44,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config.yaml,runs
12,3.261870044555664,,2.5746067890167237,0.354,0.03457977622747421,0.1,806.9446231004844,2.7749085426330566,61.9621205329895,resnet101,100,128,0.0005,True,44,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config.yaml,runs
13,3.2785515379333496,,2.47690138092041,0.3744,0.061688460409641266,0.1,806.5011231512023,2.7749838829040527,61.99619388580322,resnet101,100,128,0.0005,True,44,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config.yaml,runs
14,3.216872060241699,,2.1218954574584963,0.4416,0.03959200903773308,0.1,806.8648549653198,2.775059223175049,61.96824622154236,resnet101,100,128,0.0005,True,44,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config.yaml,runs
15,3.197064993515015,,2.5242850646972657,0.3764,0.07766073942184448,0.1,807.0517898818819,2.775134563446045,61.95389270782471,resnet101,100,128,0.0005,True,44,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config.yaml,runs
16,3.167944717102051,,2.370503857421875,0.3874,0.01573914662003517,0.1,806.5430087788747,2.775209903717041,61.992974281311035,resnet101,100,128,0.0005,True,44,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config.yaml,runs
17,3.104784216156006,,2.210287195968628,0.4201,0.021753080189228058,0.1,808.9566933105165,2.775285243988037,61.80900549888611,resnet101,100,128,0.0005,True,44,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config.yaml,runs
18,3.0457663648986815,,2.164778483963013,0.4505,0.07520017772912979,0.1,807.3005009885442,2.775360584259033,61.93480610847473,resnet101,100,128,0.0005,True,44,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config.yaml,runs
19,3.0647254080963133,,1.9686588514328003,0.4951,0.06602853536605835,0.1,806.6539597169055,2.7754359245300293,61.98444747924805,resnet101,100,128,0.0005,True,44,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config.yaml,runs
20,3.090346109313965,,2.145405658340454,0.4475,0.03826119005680084,0.1,804.2530081100871,2.7755112648010254,62.170546531677246,resnet101,100,128,0.0005,True,44,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config.yaml,runs
21,3.0361757302856445,,2.2590359615325926,0.4246,0.04780720919370651,0.1,806.4075010564923,2.7755866050720215,62.00339150428772,resnet101,100,128,0.0005,True,44,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config.yaml,runs
22,3.0117398698425295,,2.048027936172485,0.4672,0.05064286291599274,0.1,806.982415473016,2.7756619453430176,61.95921874046326,resnet101,100,128,0.0005,True,44,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config.yaml,runs
23,2.986613190765381,,2.15895509223938,0.4651,0.0978117436170578,0.1,806.9620113130413,2.7757372856140137,61.96078538894653,resnet101,100,128,0.0005,True,44,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config.yaml,runs
24,2.9346683434295655,,1.8292791702270508,0.5112,0.05599434673786163,0.1,808.86132413182,2.7758126258850098,61.815293312072754,resnet101,100,128,0.0005,True,44,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config.yaml,runs
25,2.933062071609497,,1.9028655755996704,0.4978,0.03624773770570755,0.1,807.1560400658767,2.775887966156006,61.9458909034729,resnet101,100,128,0.0005,True,44,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config.yaml,runs
26,2.8603547021484377,,1.908868451309204,0.4867,0.017920058220624924,0.1,806.5723350295099,2.775963306427002,61.99072027206421,resnet101,100,128,0.0005,True,44,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config.yaml,runs
27,2.8550206146240233,,2.019775991821289,0.4823,0.04354774206876755,0.1,806.3741498122813,2.776038646697998,62.005955934524536,resnet101,100,128,0.0005,True,44,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config.yaml,runs
28,2.913233285675049,,1.8469123126983642,0.5118,0.03517518937587738,0.1,806.9791052774167,2.776113986968994,61.95947289466858,resnet101,100,128,0.0005,True,44,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config.yaml,runs
29,2.9055057649230958,,1.929762117576599,0.5146,0.11426782608032227,0.1,806.7376739783347,2.7761893272399902,61.978015422821045,resnet101,100,128,0.0005,True,44,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config.yaml,runs
30,2.8747101369857786,,1.8141599172592162,0.5288,0.040656715631484985,0.1,804.381831857236,2.7762646675109863,62.159534215927124,resnet101,100,128,0.0005,True,44,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config.yaml,runs
31,2.8408172608184814,,1.7835317018508912,0.5305,0.04734007269144058,0.1,806.3672448742831,2.7763400077819824,62.006486892700195,resnet101,100,128,0.0005,True,44,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config.yaml,runs
