epoch,train_loss,train_acc,val_loss,val_acc,val_ece,lr,ips,mem_GB,,time_s,model,epochs,batch,wd,amp,seed,scheduler,warmup,warmup_iters,mixup,ema,randaug,channels_last,compile,optimizer,momentum,outdir
1,4.855306078,,4.544641926,0.016,0.00532429,0.1,805.06855,2.773102283,,62.10651255,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 1.2},,,FALSE,FALSE,SGD,0.9,runs
2,4.517809525,,4.381181081,0.0254,0.00280955,0.1,807.9273401,2.77415514,,61.88675332,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 1.2},,,FALSE,FALSE,SGD,0.9,runs
3,4.420921816,,4.184391699,0.0467,0.00616067,0.1,811.7666245,2.77423048,,61.59405732,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 1.2},,,FALSE,FALSE,SGD,0.9,runs
4,4.323333468,,4.070496883,0.0614,0.006578969,0.1,807.0049199,2.77430582,,61.95749092,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 1.2},,,FALSE,FALSE,SGD,0.9,runs
5,4.25936583,,4.005274721,0.0782,0.016631685,0.1,808.804683,2.774381161,,61.82062149,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 1.2},,,FALSE,FALSE,SGD,0.9,runs
6,4.190304558,,3.872637567,0.0964,0.008093125,0.1,806.5187125,2.774456501,,61.99484181,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 1.2},,,FALSE,FALSE,SGD,0.9,runs
7,4.119105156,,3.759790492,0.1138,0.018803092,0.1,807.0733788,2.774531841,,61.95323539,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 1.2},,,FALSE,FALSE,SGD,0.9,runs
8,4.037303511,,3.584099796,0.1528,0.037297215,0.1,807.0907229,2.774607182,,61.95090413,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 1.2},,,FALSE,FALSE,SGD,0.9,runs
9,3.944757416,,3.467984154,0.165,0.02034298,0.1,809.1842368,2.774682522,,61.79062533,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 1.2},,,FALSE,FALSE,SGD,0.9,runs
10,3.879604656,,3.346808495,0.1806,0.019409426,0.1,809.340141,2.774757862,,61.77976584,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 1.2},,,FALSE,FALSE,SGD,0.9,runs
