epoch,train_loss,train_acc,val_loss,val_acc,val_ece,lr,ips,mem_GB,time_s,model,epochs,batch,wd,amp,seed,scheduler,warmup,warmup_iters,mixup,ema,randaug,channels_last,compile,momentum,optimizer,_cfg_file,outdir
20,3.064515673828125,,2.086423837661743,0.4514,0.019191401079297066,0.1,807.0432800910658,2.7755112648010254,61.9555459022522,resnet101,100,128,0.0005,True,43,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本.yaml,runs
21,3.083935524139404,,2.0732727363586427,0.4552,0.018893392756581306,0.1,806.9068684190346,2.7755866050720215,61.96501970291138,resnet101,100,128,0.0005,True,43,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本.yaml,runs
22,3.000306092529297,,2.18455057144165,0.4621,0.12277312576770782,0.1,806.6334356496313,2.7756619453430176,61.986024618148804,resnet101,100,128,0.0005,True,43,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本.yaml,runs
23,2.9778597369384765,,1.9171469848632812,0.5003,0.06698340177536011,0.1,806.7852267488463,2.7757372856140137,61.97436237335205,resnet101,100,128,0.0005,True,43,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本.yaml,runs
24,2.971890313491821,,1.9115145847320556,0.489,0.022161614149808884,0.1,807.0304846850031,2.7758126258850098,61.955528259277344,resnet101,100,128,0.0005,True,43,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本.yaml,runs
25,3.00892619972229,,1.9538162796020508,0.4872,0.0392828993499279,0.1,806.4146609571674,2.775887966156006,62.002840995788574,resnet101,100,128,0.0005,True,43,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本.yaml,runs
26,2.9316364662933347,,1.9251751947402953,0.493,0.023349720984697342,0.1,809.3879729805197,2.775963306427002,61.77507162094116,resnet101,100,128,0.0005,True,43,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本.yaml,runs
27,2.926987300109863,,1.8114480848312378,0.5226,0.0632626861333847,0.1,809.4594331502052,2.776038646697998,61.76961803436279,resnet101,100,128,0.0005,True,43,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本.yaml,runs
28,2.934241435546875,,1.9613857166290283,0.4985,0.05989480018615723,0.1,809.2160504199288,2.776113986968994,61.788196086883545,resnet101,100,128,0.0005,True,43,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本.yaml,runs
29,2.896332465209961,,2.066721233558655,0.4855,0.10894156247377396,0.1,804.2922391328464,2.7761893272399902,62.16645836830139,resnet101,100,128,0.0005,True,43,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本.yaml,runs
