epoch,train_loss,train_acc,val_loss,val_acc,val_ece,lr,ips,mem_GB,time_s,model,epochs,batch,wd,amp,seed,scheduler,warmup,warmup_iters,mixup,ema,randaug,channels_last,compile,_cfg_file,outdir
1,4.344294960479736,0.0506,3.8866527130126953,0.0916,0.026754768565297127,0.1,768.9030537347138,2.775299072265625,65.02870416641235,resnet101,100,128,0.0001,True,42,cosine_warm,2,,,,,False,False,D:\8099\yaml\6.yaml,runs
2,3.851393898239136,0.10258,3.510736555480957,0.1627,0.026609057560563087,0.1,772.597404420759,2.7753748893737793,64.71675896644592,resnet101,100,128,0.0001,True,42,cosine_warm,2,,,,,False,False,D:\8099\yaml\6.yaml,runs
3,3.4381606562042237,0.16658,3.498602740478516,0.1947,0.0675801932811737,0.1,771.4735738925542,2.7754502296447754,64.8110339641571,resnet101,100,128,0.0001,True,42,cosine_warm,2,,,,,False,False,D:\8099\yaml\6.yaml,runs
4,2.915521575469971,0.26254,2.632787506866455,0.3182,0.018530137836933136,0.1,772.4388511631037,2.7755255699157715,64.73004293441772,resnet101,100,128,0.0001,True,42,cosine_warm,2,,,,,False,False,D:\8099\yaml\6.yaml,runs
5,2.4304606674194336,0.3586,2.512367895889282,0.3695,0.07385643571615219,0.1,771.8164060096299,2.7756009101867676,64.78224563598633,resnet101,100,128,0.0001,True,42,cosine_warm,2,,,,,False,False,D:\8099\yaml\6.yaml,runs
6,2.0729563324737548,0.43588,2.2315354305267334,0.4315,0.05403399094939232,0.1,771.995389007338,2.7756762504577637,64.76722621917725,resnet101,100,128,0.0001,True,42,cosine_warm,2,,,,,False,False,D:\8099\yaml\6.yaml,runs
7,1.813650001525879,0.49458,1.939296459388733,0.4863,0.0666692778468132,0.1,771.9016481154638,2.7757515907287598,64.7760922908783,resnet101,100,128,0.0001,True,42,cosine_warm,2,,,,,False,False,D:\8099\yaml\6.yaml,runs
8,1.6249649820327758,0.54414,1.74387420501709,0.5212,0.05622149258852005,0.1,771.8561469535854,2.775826930999756,64.7789101600647,resnet101,100,128,0.0001,True,42,cosine_warm,2,,,,,False,False,D:\8099\yaml\6.yaml,runs
9,1.4666553945159913,0.58188,1.8303377988815308,0.5151,0.06925510615110397,0.1,771.678639740363,2.775902271270752,64.79381108283997,resnet101,100,128,0.0001,True,42,cosine_warm,2,,,,,False,False,D:\8099\yaml\6.yaml,runs
10,1.3494528073883056,0.6102,1.5735563648223876,0.5683,0.06802025437355042,0.1,771.7139137172082,2.775977611541748,64.79084944725037,resnet101,100,128,0.0001,True,42,cosine_warm,2,,,,,False,False,D:\8099\yaml\6.yaml,runs
11,1.2478597330856323,0.63592,1.6332290733337402,0.5644,0.08729369938373566,0.1,772.1924526438605,2.776052951812744,64.75069761276245,resnet101,100,128,0.0001,True,42,cosine_warm,2,,,,,False,False,D:\8099\yaml\6.yaml,runs
12,1.152264635848999,0.65876,1.4790902351379394,0.6088,0.06458069384098053,0.1,771.9037448892045,2.7761282920837402,64.77591586112976,resnet101,100,128,0.0001,True,42,cosine_warm,2,,,,,False,False,D:\8099\yaml\6.yaml,runs
