epoch,train_loss,train_acc,val_loss,val_acc,val_ece,lr,ips,mem_GB,time_s,model,epochs,batch,wd,amp,seed,scheduler,warmup,warmup_iters,mixup,ema,randaug,channels_last,compile,outdir
11,2.126001438140869,0.43072,2.2032673038482664,0.4221,0.05919323116540909,0.1,714.2240275897584,2.776052951812744,70.00604581832886,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
12,1.9789507385253906,0.46264,2.1298384113311766,0.4483,0.08265596628189087,0.1,712.40267431731,2.7761282920837402,70.18502569198608,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
13,1.8501476315689087,0.49192,1.9917029409408569,0.474,0.06734982132911682,0.1,722.0571276566277,2.7762036323547363,69.24659848213196,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
14,1.7245815459442138,0.52294,1.9174412559509277,0.5,0.07482235133647919,0.1,715.2759700822396,2.7762789726257324,69.90308928489685,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
15,1.605292109146118,0.54886,1.8876362365722656,0.5021,0.0792868435382843,0.1,714.5758999570843,2.7763543128967285,69.97157335281372,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
16,1.509294058265686,0.57226,1.8141535501480102,0.5203,0.08012136816978455,0.1,719.7974336849385,2.7764296531677246,69.46398758888245,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
17,1.4103280183029174,0.59666,2.031841570663452,0.5436,0.07862986624240875,0.1,716.4143315674823,2.7765049934387207,69.79201531410217,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
18,1.3274977087783812,0.6165,1.7109188850402832,0.5528,0.0881117731332779,0.1,717.4550532789965,2.776580333709717,69.69077682495117,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
19,1.247962474937439,0.63732,1.6253473083496093,0.5599,0.08382701128721237,0.1,714.4791873976669,2.776655673980713,69.98104476928711,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
20,1.182807281188965,0.65576,1.5913846868515014,0.5804,0.09626536816358566,0.1,717.5086827654137,2.776731014251709,69.68656659126282,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
21,1.1056910389328003,0.6756,1.568466397666931,0.5827,0.09707404673099518,0.1,717.6338355029325,2.776806354522705,69.67341494560242,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
22,1.0429067125320435,0.69038,1.583264222717285,0.587,0.110066257417202,0.1,716.5483669669355,2.776881694793701,69.77896022796631,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
23,0.9902245872497558,0.70316,1.5213268466949463,0.5956,0.10067993402481079,0.1,715.5377243725452,2.7769570350646973,69.87751770019531,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
24,0.931184587059021,0.72006,1.4933413358688354,0.6134,0.103639155626297,0.1,720.8174556754315,2.7770323753356934,69.36668634414673,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
25,0.8789908799934387,0.73202,1.4872909934997558,0.6133,0.11386361718177795,0.1,715.5087024390084,2.7771077156066895,69.88035202026367,resnet101,100,128,0.0001,True,44,cosine,0,,,,,False,False,runs
