epoch,train_loss,train_acc,val_loss,val_acc,val_ece,lr,ips,mem_GB,power_W,time_s,model,epochs,batch,wd,amp,seed,scheduler,warmup,warmup_iters,mixup,ema,randaug,channels_last,compile,optimizer,momentum,outdir
12,2.208620019378662,0.40776,2.4384322624206543,0.3535,0.07714691758155823,0.1,637.20007852823,2.7761282920837402,131524.9490000001,78.46928930282593,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
13,2.136087847366333,0.422,2.6982047946929932,0.3272,0.11621160805225372,0.1,533.287482240805,2.7762036323547363,128483.0779999999,93.75806045532227,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
14,2.0752192530822753,0.43664,2.3600427089691163,0.3885,0.05725410580635071,0.1,584.6738831085536,2.7762789726257324,121263.50000000009,85.51775860786438,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
15,2.0203056825256347,0.4498,2.357992869567871,0.3845,0.09427781403064728,0.1,739.912578026585,2.7763543128967285,131723.68699999992,67.57555079460144,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
16,1.9754036041259766,0.45992,2.442475582122803,0.3669,0.09561200439929962,0.1,733.2562981687505,2.7764296531677246,131757.43200000003,68.18898129463196,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
17,1.9374067545318603,0.46916,2.1407409473419188,0.4209,0.0766553282737732,0.1,733.6567698410797,2.7765049934387207,131910.14600000004,68.15175986289978,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
18,1.8914248964691163,0.47882,2.4022244106292723,0.3884,0.13918766379356384,0.1,733.3796729016125,2.776580333709717,130723.02399999995,68.17751002311707,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
19,1.862531522140503,0.48812,2.0459976913452147,0.4556,0.06906867027282715,0.1,733.2435461212128,2.776655673980713,131099.60999999996,68.19016718864441,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
20,1.8367971911621093,0.492,2.3092072368621825,0.4029,0.09964793920516968,0.1,733.2986671729429,2.776731014251709,132161.069,68.1850414276123,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
21,1.805459766807556,0.50042,2.5373326431274412,0.3673,0.12206238508224487,0.1,735.5165989540078,2.776806354522705,131898.35900000003,67.97943115234375,resnet101,100,128,0.001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
