epoch,train_loss,train_acc,val_loss,val_acc,val_ece,lr,ips,mem_GB,power_W,time_s,model,epochs,batch,wd,amp,seed,scheduler,warmup,warmup_iters,mixup,ema,randaug,channels_last,compile,optimizer,momentum,outdir
1,4.818295604553223,0.01278,4.52729497680664,0.0229,0.006719488184899092,0.1,796.2900388291027,2.775299072265625,132068.867,62.79119110107422,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 3, 'magnitude': 15}",False,False,SGD,0.9,runs
2,4.486209375305176,0.02328,4.281670446777344,0.0371,0.002597919199615717,0.1,799.3069211589278,2.7753748893737793,132123.43699999995,62.55519413948059,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 3, 'magnitude': 15}",False,False,SGD,0.9,runs
3,4.375248032226563,0.03098,4.128666347503662,0.0501,0.01194396335631609,0.1,801.4884269675949,2.7754502296447754,132092.56099999993,62.38493251800537,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 3, 'magnitude': 15}",False,False,SGD,0.9,runs
4,4.269535400543213,0.04346,3.9561796962738036,0.084,0.008651777170598507,0.1,798.9483995297602,2.7755255699157715,132099.70800000004,62.58326482772827,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 3, 'magnitude': 15}",False,False,SGD,0.9,runs
5,4.147920111999512,0.06072,3.8960984935760496,0.094,0.013922668993473053,0.1,799.5791826571866,2.7756009101867676,132172.81400000004,62.532893657684326,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 3, 'magnitude': 15}",False,False,SGD,0.9,runs
6,4.0422145945739745,0.0755,3.727887201690674,0.1202,0.013990112580358982,0.1,798.8673925161927,2.7756762504577637,132137.37400000004,62.58861041069031,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 3, 'magnitude': 15}",False,False,SGD,0.9,runs
7,3.903318260574341,0.09842,3.4607771423339844,0.167,0.017193054780364037,0.1,798.8856151512986,2.7757515907287598,132074.22200000007,62.5881826877594,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 3, 'magnitude': 15}",False,False,SGD,0.9,runs
8,3.749653292312622,0.12518,3.315641471862793,0.1947,0.02113649994134903,0.1,801.2352050053727,2.775826930999756,132080.18100000013,62.403648376464844,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 3, 'magnitude': 15}",False,False,SGD,0.9,runs
9,3.569833740310669,0.1541,3.0742115379333494,0.2326,0.01796168088912964,0.1,801.485584398444,2.775902271270752,132038.59799999997,62.384153842926025,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 3, 'magnitude': 15}",False,False,SGD,0.9,runs
10,3.3880121306610107,0.18236,2.9182631771087646,0.2677,0.013947141356766224,0.1,799.5543804394114,2.775977611541748,131948.47099999993,62.5348334312439,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 3, 'magnitude': 15}",False,False,SGD,0.9,runs
11,3.1920158802032472,0.21908,2.628314195632935,0.3208,0.012716079130768776,0.1,798.7480438566132,2.776052951812744,131952.69700000004,62.597962379455566,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 3, 'magnitude': 15}",False,False,SGD,0.9,runs
