epoch,train_loss,train_acc,val_loss,val_acc,val_ece,lr,ips,mem_GB,time_s,model,epochs,batch,wd,amp,seed,scheduler,warmup,warmup_iters,mixup,ema,randaug,channels_last,compile,optimizer,momentum,outdir
49,0.14894386948108673,0.9529,1.7741965362548828,0.6489,0.20041832327842712,0.1,809.0778794865807,2.7789158821105957,61.79874801635742,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
50,0.13208490047454835,0.95944,1.6609939781188965,0.6615,0.19271253049373627,0.1,809.3260358384116,2.778991222381592,61.77979922294617,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
51,0.11679733591079712,0.96416,1.6486168605804443,0.6735,0.18594804406166077,0.1,809.6038196879919,2.779066562652588,61.75960183143616,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
52,0.10763714972734452,0.96746,1.7154518379211425,0.6671,0.19564470648765564,0.1,811.9263545808997,2.779141902923584,61.581939935684204,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
53,0.09796567911624908,0.97094,1.6699234838485717,0.6687,0.18954576551914215,0.1,808.8902513842515,2.77921724319458,61.813082695007324,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
54,0.0817828572511673,0.97608,1.6111900552749634,0.6824,0.182257741689682,0.1,809.884631047013,2.779292583465576,61.7371883392334,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
55,0.07248046532630921,0.97934,1.6237146191596985,0.6776,0.18970300257205963,0.1,809.2680179976807,2.7793679237365723,61.78522801399231,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
56,0.059027043462991716,0.98388,1.6748559814453126,0.6759,0.19161780178546906,0.1,809.1630685988554,2.7794432640075684,61.79224181175232,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
57,0.050965242068171504,0.98608,1.6194859756469726,0.6839,0.18298612534999847,0.1,806.8289670878576,2.7795186042785645,61.97100257873535,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
58,0.04319051877737045,0.98876,1.5637647548675537,0.6978,0.174557626247406,0.1,806.7537063510558,2.7795939445495605,61.976783752441406,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
59,0.03450819838106632,0.99198,1.5705875591278076,0.7021,0.17396800220012665,0.1,806.7445014691496,2.7796692848205566,61.97749090194702,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
60,0.0283363021504879,0.9934,1.5668432514190673,0.6955,0.18112242221832275,0.1,807.0267983168435,2.7797446250915527,61.95581126213074,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
61,0.02540209088563919,0.99426,1.558398596572876,0.6954,0.17751599848270416,0.1,811.728184746008,2.779819965362549,61.59697413444519,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
62,0.023433457444906235,0.99496,1.5566062839508057,0.6977,0.1773960292339325,0.1,809.3403877692114,2.779895305633545,61.77970361709595,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
63,0.021035905420780182,0.99538,1.545480117225647,0.7014,0.1773582249879837,0.1,809.3988220924329,2.779970645904541,61.77424359321594,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
64,0.014769026215076447,0.99738,1.5341114345550537,0.7048,0.17559337615966797,0.1,809.3270696601576,2.780045986175537,61.779720306396484,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
65,0.012958910447359084,0.9979,1.5007211627960204,0.7066,0.17305603623390198,0.1,809.2716280593228,2.780121326446533,61.783952713012695,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
66,0.010176321433782578,0.9987,1.4818689605712891,0.7123,0.16950121521949768,0.1,809.3153136072914,2.7801966667175293,61.78061771392822,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
67,0.010339781186580658,0.99818,1.473530618095398,0.7105,0.16753512620925903,0.1,807.0826657793224,2.7802720069885254,61.95152258872986,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
68,0.00840271703749895,0.99876,1.4619819936752319,0.7138,0.1685040295124054,0.1,811.4025922437717,2.7803473472595215,61.62169122695923,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
69,0.0070875812098383905,0.9989,1.4550850408554077,0.7134,0.1692858636379242,0.1,807.0339785359529,2.7804226875305176,61.955260038375854,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
70,0.00610647798076272,0.99914,1.4419343589782714,0.7137,0.1676904261112213,0.1,809.1487635414995,2.7804980278015137,61.79333424568176,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
71,0.005699219956099987,0.99924,1.4290097993850708,0.7146,0.166273832321167,0.1,807.1284233523808,2.7805733680725098,61.94801044464111,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
72,0.005344760456159711,0.99928,1.4133179494857788,0.7188,0.16160601377487183,0.1,806.0080628862714,2.780648708343506,62.03411889076233,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
73,0.005036711447387934,0.99932,1.410360426902771,0.7174,0.16189512610435486,0.1,799.3572977537249,2.780724048614502,62.550251483917236,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
74,0.004878186767026782,0.99938,1.4080676666259766,0.7171,0.16428974270820618,0.1,806.5283371479449,2.780799388885498,61.994102001190186,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
75,0.00443608557716012,0.99942,1.3894504557609557,0.7179,0.16273906826972961,0.1,807.2602115345775,2.780874729156494,61.93789720535278,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
76,0.004132817428037524,0.99956,1.3860367419242858,0.7195,0.16098883748054504,0.1,809.1818701222184,2.7809500694274902,61.79080605506897,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
77,0.004195272307246923,0.99936,1.3859896251678467,0.7198,0.15995866060256958,0.1,811.3881168546499,2.7810254096984863,61.622790575027466,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
78,0.004137975366041064,0.99946,1.3824071468353272,0.7179,0.16278992593288422,0.1,807.1254505522453,2.7811007499694824,61.94823861122131,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
79,0.00366533017873764,0.99964,1.3716905435562134,0.721,0.15877234935760498,0.1,809.6344473167934,2.7811760902404785,61.75626564025879,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
80,0.0034525551365315915,0.99952,1.3656613102912902,0.7205,0.15902404487133026,0.1,806.6036116822569,2.7812514305114746,61.98931694030762,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
81,0.00360650128826499,0.99946,1.362302637195587,0.7199,0.15935419499874115,0.1,809.2593115109345,2.7813267707824707,61.78489303588867,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
82,0.003341360354349017,0.9997,1.3610659793853759,0.7193,0.1592061072587967,0.1,809.5517214734313,2.781402111053467,61.76257634162903,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
83,0.00351151105388999,0.99954,1.3622736539840699,0.7195,0.15920549631118774,0.1,808.9570927314483,2.781477451324463,61.80797529220581,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
84,0.0032523956155031918,0.99962,1.3603678241729735,0.7195,0.15939226746559143,0.1,809.6841709665714,2.781552791595459,61.75247311592102,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
85,0.0031824011278897522,0.99968,1.3570040998458863,0.7192,0.1591787040233612,0.1,806.8233239079449,2.781628131866455,61.97243547439575,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
86,0.0032922264195233584,0.9996,1.35136103515625,0.7202,0.1584625542163849,0.1,808.8436075233603,2.781703472137451,61.81664729118347,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
87,0.0032423063683882356,0.99958,1.3533208074569703,0.7209,0.15725572407245636,0.1,809.5498433126969,2.7817788124084473,61.76271963119507,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
88,0.002994684433862567,0.99966,1.3512373929977417,0.7221,0.15686805546283722,0.1,807.06753967984,2.7818541526794434,61.953683614730835,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
89,0.0032572025252878664,0.99968,1.350976720046997,0.7217,0.1571749746799469,0.1,809.2589961072911,2.7819294929504395,61.78491711616516,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
90,0.002938545725494623,0.99974,1.3531436241149903,0.7218,0.15705789625644684,0.1,809.184817501014,2.7820048332214355,61.79158115386963,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
91,0.003028507692664862,0.99966,1.3478890413284301,0.7218,0.15640656650066376,0.1,809.4133328047247,2.7820801734924316,61.773136138916016,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
92,0.0030635262447595594,0.99966,1.3518247423171996,0.721,0.1574377864599228,0.1,812.103160543408,2.7821555137634277,61.56853270530701,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
93,0.003113243541754782,0.9997,1.3484549715042113,0.7206,0.15806978940963745,0.1,809.1902752040324,2.782230854034424,61.79016423225403,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
94,0.0029126069281995297,0.99968,1.3467065791130066,0.7223,0.1560545265674591,0.1,806.6685180104678,2.78230619430542,61.9833288192749,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
95,0.0028754649496823548,0.99972,1.3432551486968993,0.7214,0.15712523460388184,0.1,809.2970368090856,2.782381534576416,61.78301286697388,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
96,0.0030074578952044248,0.9997,1.347316230583191,0.7233,0.1547991782426834,0.1,807.0153077476047,2.782456874847412,61.95669341087341,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
97,0.0029649090506136417,0.99974,1.343113109397888,0.7216,0.1566636562347412,0.1,809.3988814462781,2.782532215118408,61.77423906326294,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
98,0.002842941455990076,0.99974,1.3449498594284057,0.7191,0.15879079699516296,0.1,806.8740253407566,2.7826075553894043,61.96754193305969,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
99,0.00298282892473042,0.99974,1.346615153312683,0.7212,0.15741614997386932,0.1,806.3186377052467,2.7826828956604004,62.01022481918335,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
100,0.002961605389267206,0.99964,1.3480606576919556,0.7227,0.15579892694950104,0.1,806.9509666062064,2.7827582359313965,61.9616334438324,resnet101,100,128,0.0001,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
