epoch,train_loss,train_acc,val_loss,val_acc,val_ece,lr,ips,mem_GB,power_W,time_s,model,epochs,batch,wd,amp,seed,scheduler,warmup,warmup_iters,mixup,ema,randaug,channels_last,compile,optimizer,momentum,outdir
11,1.318171693687439,0.61804,1.7160745464324951,0.5401,0.08782653510570526,0.1,801.6120185781928,2.776052951812744,132058.70700000002,62.374314308166504,resnet101,100,128,0.0001,True,42,cosine_warm,5,,,,,False,False,SGD,0.9,runs
12,1.2311801782989502,0.64252,1.5276561809539795,0.5783,0.07443222403526306,0.1,801.3209090953067,2.7761282920837402,131953.19199999998,62.397974252700806,resnet101,100,128,0.0001,True,42,cosine_warm,5,,,,,False,False,SGD,0.9,runs
13,1.1432742612838744,0.66084,1.5615294288635253,0.5819,0.10366380214691162,0.1,801.6441251783338,2.7762036323547363,132056.63299999997,62.37181615829468,resnet101,100,128,0.0001,True,42,cosine_warm,5,,,,,False,False,SGD,0.9,runs
14,1.0721047706985474,0.68176,1.6461199249267577,0.5681,0.11083130538463593,0.1,801.8748363722264,2.7762789726257324,132124.28400000004,62.35387086868286,resnet101,100,128,0.0001,True,42,cosine_warm,5,,,,,False,False,SGD,0.9,runs
15,1.0081447205734253,0.6991,1.471875910758972,0.6103,0.1079026311635971,0.1,801.1545416143737,2.7763543128967285,132070.26900000006,62.40993142127991,resnet101,100,128,0.0001,True,42,cosine_warm,5,,,,,False,False,SGD,0.9,runs
16,0.945938133468628,0.71458,1.4395302522659301,0.6136,0.10082048922777176,0.1,801.8602421044764,2.7764296531677246,132070.305,62.355005741119385,resnet101,100,128,0.0001,True,42,cosine_warm,5,,,,,False,False,SGD,0.9,runs
17,0.892552476978302,0.72744,1.4568491230010987,0.6125,0.12078316509723663,0.1,804.1628612778686,2.7765049934387207,131992.18699999992,62.1764600276947,resnet101,100,128,0.0001,True,42,cosine_warm,5,,,,,False,False,SGD,0.9,runs
18,0.8428424320602417,0.74382,1.4487996828079224,0.6249,0.11601784080266953,0.1,800.6189630208611,2.776580333709717,132139.22099999996,62.45168089866638,resnet101,100,128,0.0001,True,42,cosine_warm,5,,,,,False,False,SGD,0.9,runs
19,0.7969983972930909,0.75464,1.3724888801574706,0.6373,0.11085031181573868,0.1,799.9891511481005,2.776655673980713,132079.46400000007,62.500847578048706,resnet101,100,128,0.0001,True,42,cosine_warm,5,,,,,False,False,SGD,0.9,runs
20,0.7489361478614807,0.7676,1.4647074153900146,0.6247,0.12554752826690674,0.1,801.6831848325104,2.776731014251709,131977.55499999993,62.36977744102478,resnet101,100,128,0.0001,True,42,cosine_warm,5,,,,,False,False,SGD,0.9,runs
