epoch,train_loss,train_acc,val_loss,val_acc,val_ece,lr,ips,mem_GB,time_s,model,epochs,batch,wd,amp,seed,scheduler,warmup,warmup_iters,mixup,ema,randaug,channels_last,compile,momentum,optimizer,_cfg_file,outdir
1,4.690126722412109,,4.588706463623047,0.0427,0.030129805207252502,0.1,801.8405253565866,2.773102283477783,62.35753917694092,resnet101,100,128,0.0005,True,45,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本 (3).yaml,runs
2,4.430331590118408,,4.265904510879516,0.0762,0.02088216319680214,0.1,808.116539607547,2.7741551399230957,61.87226414680481,resnet101,100,128,0.0005,True,45,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本 (3).yaml,runs
3,4.3223669105529785,,4.217446772766113,0.0872,0.037194445729255676,0.1,809.2351791582428,2.774230480194092,61.7877357006073,resnet101,100,128,0.0005,True,45,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本 (3).yaml,runs
4,4.243662932739258,,3.8214870819091797,0.1108,0.018605370074510574,0.1,811.5211428559533,2.774305820465088,61.61268925666809,resnet101,100,128,0.0005,True,45,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本 (3).yaml,runs
5,4.134050166625976,,3.5287756534576418,0.1588,0.02371709607541561,0.1,807.2341568250675,2.774381160736084,61.93989634513855,resnet101,100,128,0.0005,True,45,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本 (3).yaml,runs
6,4.041678093109131,,3.5561565494537355,0.1696,0.030795719474554062,0.1,806.941679598666,2.77445650100708,61.96234655380249,resnet101,100,128,0.0005,True,45,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本 (3).yaml,runs
7,3.842802325210571,,2.975571020126343,0.2551,0.0361003540456295,0.1,806.4914308958718,2.774531841278076,61.996938943862915,resnet101,100,128,0.0005,True,45,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本 (3).yaml,runs
8,3.6721068771362306,,2.7873689971923827,0.2888,0.04617246985435486,0.1,806.9540002220214,2.7746071815490723,61.961400508880615,resnet101,100,128,0.0005,True,45,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本 (3).yaml,runs
9,3.5433899164581297,,2.8409546058654787,0.288,0.016559259966015816,0.1,809.1805150845106,2.7746825218200684,61.7909095287323,resnet101,100,128,0.0005,True,45,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本 (3).yaml,runs
10,3.460234792022705,,2.551437630844116,0.3415,0.03533397614955902,0.1,806.9221282123259,2.7747578620910645,61.96384787559509,resnet101,100,128,0.0005,True,45,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本 (3).yaml,runs
11,3.361788570022583,,2.635549373626709,0.3404,0.047177426517009735,0.1,809.4180063332735,2.7748332023620605,61.77277946472168,resnet101,100,128,0.0005,True,45,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本 (3).yaml,runs
12,3.314156211166382,,2.257903945541382,0.4158,0.07423460483551025,0.1,808.7943582440691,2.7749085426330566,61.82141160964966,resnet101,100,128,0.0005,True,45,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本 (3).yaml,runs
13,3.2706105961608887,,2.254192442321777,0.4172,0.07035630196332932,0.1,807.2953328993066,2.7749838829040527,61.93520259857178,resnet101,100,128,0.0005,True,45,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本 (3).yaml,runs
14,3.238572230682373,,2.368541811752319,0.399,0.06694335490465164,0.1,806.5466100789658,2.775059223175049,61.9926974773407,resnet101,100,128,0.0005,True,45,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本 (3).yaml,runs
15,3.175190705795288,,2.24685830039978,0.4262,0.0933472290635109,0.1,809.5674971175869,2.775134563446045,61.762372732162476,resnet101,100,128,0.0005,True,45,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本 (3).yaml,runs
16,3.111477510604858,,2.2990776268005373,0.4334,0.06924951076507568,0.1,806.4725463993634,2.775209903717041,61.998390674591064,resnet101,100,128,0.0005,True,45,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本 (3).yaml,runs
17,3.123799419326782,,2.2286407161712645,0.4383,0.08219292014837265,0.1,806.7070944442675,2.775285243988037,61.98036479949951,resnet101,100,128,0.0005,True,45,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本 (3).yaml,runs
18,3.0798647634124756,,2.135815909576416,0.4538,0.06235691159963608,0.1,809.5641094274234,2.775360584259033,61.76262927055359,resnet101,100,128,0.0005,True,45,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本 (3).yaml,runs
19,3.110690951538086,,2.1508917348861694,0.4439,0.04308729246258736,0.1,809.2086002614963,2.7754359245300293,61.78876495361328,resnet101,100,128,0.0005,True,45,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本 (3).yaml,runs
20,3.0212606288146975,,1.9549331470489502,0.4848,0.05938367545604706,0.1,806.9404873002429,2.7755112648010254,61.962438106536865,resnet101,100,128,0.0005,True,45,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本 (3).yaml,runs
21,2.973452968292236,,2.0001515338897704,0.4828,0.07799874991178513,0.1,808.9539941090893,2.7755866050720215,61.809211015701294,resnet101,100,128,0.0005,True,45,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本 (3).yaml,runs
22,3.0490031980895997,,2.097338010406494,0.4913,0.12830540537834167,0.1,809.5043357356731,2.7756619453430176,61.766191720962524,resnet101,100,128,0.0005,True,45,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本 (3).yaml,runs
