epoch,train_loss,train_acc,val_loss,val_acc,val_ece,lr,ips,mem_GB,time_s,model,epochs,batch,wd,amp,seed,scheduler,warmup,warmup_iters,mixup,ema,randaug,channels_last,compile,outdir
1,4.68234397491455,0.0213,4.291709495544434,0.0408,0.009947111830115318,0.1,774.884220107479,2.775299072265625,64.52576875686646,resnet101,100,128,0.0001,True,45,cosine,0,,,,,False,False,runs
2,4.123134946441651,0.05718,3.9525629570007323,0.0845,0.007498716935515404,0.1,779.7094494132974,2.7753748893737793,64.12645125389099,resnet101,100,128,0.0001,True,45,cosine,0,,,,,False,False,runs
3,3.868077423095703,0.09232,3.6874431034088135,0.1195,0.01078247930854559,0.1,779.1086368929423,2.7754502296447754,64.17590260505676,resnet101,100,128,0.0001,True,45,cosine,0,,,,,False,False,runs
4,3.586845571899414,0.13954,3.4083335056304933,0.1827,0.01927138678729534,0.1,778.7192530302868,2.7755255699157715,64.20799255371094,resnet101,100,128,0.0001,True,45,cosine,0,,,,,False,False,runs
5,3.2942080126190185,0.19254,3.255439324569702,0.2155,0.04793908819556236,0.1,779.2536208440237,2.7756009101867676,64.16396236419678,resnet101,100,128,0.0001,True,45,cosine,0,,,,,False,False,runs
6,3.0271038264465333,0.24448,2.979292016220093,0.2656,0.04704758897423744,0.1,778.7277803283565,2.7756762504577637,64.20728945732117,resnet101,100,128,0.0001,True,45,cosine,0,,,,,False,False,runs
7,2.7658007051086426,0.29694,2.888090538787842,0.2948,0.08040596544742584,0.1,779.13204791213,2.7757515907287598,64.17397427558899,resnet101,100,128,0.0001,True,45,cosine,0,,,,,False,False,runs
8,2.5229456719207763,0.3437,2.479225433731079,0.3705,0.05915593355894089,0.1,779.2023531052629,2.775826930999756,64.16818404197693,resnet101,100,128,0.0001,True,45,cosine,0,,,,,False,False,runs
9,2.3075386897277834,0.39106,2.3203175189971925,0.3955,0.05128055065870285,0.1,778.919759013974,2.775902271270752,64.1914644241333,resnet101,100,128,0.0001,True,45,cosine,0,,,,,False,False,runs
10,2.09925652671814,0.43744,2.2267067859649656,0.4291,0.07240056246519089,0.1,776.5818867964241,2.775977611541748,64.38471055030823,resnet101,100,128,0.0001,True,45,cosine,0,,,,,False,False,runs
11,1.9285687356567383,0.47454,1.9989555883407593,0.4666,0.06755955517292023,0.1,779.1830661141523,2.776052951812744,64.1707694530487,resnet101,100,128,0.0001,True,45,cosine,0,,,,,False,False,runs
12,1.7801907555770875,0.50868,1.88267950630188,0.4965,0.07680173218250275,0.1,779.0323726934568,2.7761282920837402,64.18218517303467,resnet101,100,128,0.0001,True,45,cosine,0,,,,,False,False,runs
13,1.6526172965240478,0.5386,1.8349895652770996,0.5141,0.07707471400499344,0.1,779.1739498546023,2.7762036323547363,64.1705231666565,resnet101,100,128,0.0001,True,45,cosine,0,,,,,False,False,runs
14,1.5465255960845947,0.5627,1.7970459177017213,0.5174,0.09325911104679108,0.1,778.7095953461717,2.7762789726257324,64.20878887176514,resnet101,100,128,0.0001,True,45,cosine,0,,,,,False,False,runs
