epoch,train_loss,train_acc,val_loss,val_acc,val_ece,lr,ips,mem_GB,time_s,model,epochs,batch,wd,amp,seed,scheduler,warmup,warmup_iters,mixup,ema,randaug,channels_last,compile,momentum,optimizer,outdir,_cfg_file
19,3.101844679107666,,2.3520091026306154,0.4083,0.048157840967178345,0.1,811.7655687064132,2.7754359245300293,61.59413743019104,resnet101,100,128,0.0005,True,42,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,runs,D:\8099\yaml\stage_tmp\23b645.yaml
20,3.103886357421875,,2.2041726741790773,0.4306,0.02495669573545456,0.1,814.7124334353499,2.7755112648010254,61.37134766578674,resnet101,100,128,0.0005,True,42,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,runs,D:\8099\yaml\stage_tmp\23b645.yaml
21,3.0473714437866213,,2.0376032733917238,0.4743,0.016934694722294807,0.1,815.309188497217,2.7755866050720215,61.32742786407471,resnet101,100,128,0.0005,True,42,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,runs,D:\8099\yaml\stage_tmp\23b645.yaml
22,3.0135959677124022,,2.110885439300537,0.4579,0.06036718189716339,0.1,814.4512402373908,2.7756619453430176,61.39202928543091,resnet101,100,128,0.0005,True,42,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,runs,D:\8099\yaml\stage_tmp\23b645.yaml
23,3.0507702338409426,,1.895746908760071,0.5118,0.09672506153583527,0.1,811.6353869889238,2.7757372856140137,61.6050169467926,resnet101,100,128,0.0005,True,42,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,runs,D:\8099\yaml\stage_tmp\23b645.yaml
24,2.999295132751465,,1.957571104812622,0.496,0.08793769776821136,0.1,809.7770796240226,2.7758126258850098,61.74538803100586,resnet101,100,128,0.0005,True,42,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,runs,D:\8099\yaml\stage_tmp\23b645.yaml
25,2.9554616814804078,,1.8518935237884522,0.5107,0.0746636688709259,0.1,814.2483711767277,2.775887966156006,61.40632486343384,resnet101,100,128,0.0005,True,42,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,runs,D:\8099\yaml\stage_tmp\23b645.yaml
26,2.9436883409118653,,2.077142653656006,0.4807,0.10439746081829071,0.1,812.3812525696426,2.775963306427002,61.54745674133301,resnet101,100,128,0.0005,True,42,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,runs,D:\8099\yaml\stage_tmp\23b645.yaml
27,2.966652550582886,,1.8820423997879028,0.5054,0.04194805026054382,0.1,811.5073289549733,2.776038646697998,61.61473774909973,resnet101,100,128,0.0005,True,42,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,runs,D:\8099\yaml\stage_tmp\23b645.yaml
28,2.9576579478454588,,2.0341415225982664,0.4781,0.05248187482357025,0.1,812.4389087897674,2.776113986968994,61.54308891296387,resnet101,100,128,0.0005,True,42,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,runs,D:\8099\yaml\stage_tmp\23b645.yaml
