epoch,train_loss,train_acc,val_loss,val_acc,val_ece,lr,ips,mem_GB,time_s,model,epochs,batch,wd,amp,seed,scheduler,warmup,warmup_iters,mixup,ema,randaug,channels_last,compile,outdir
1,4.776210877990723,0.01296,4.5088165138244625,0.0181,0.004868004005402327,0.1,641.9231620651484,2.775299072265625,77.89094233512878,resnet101,100,128,0.0001,True,46,cosine,0,,,,,False,False,runs
2,4.307404780273438,0.0326,4.105495107269287,0.056,0.010044883005321026,0.1,648.0957078669238,2.7753748893737793,77.149099111557,resnet101,100,128,0.0001,True,46,cosine,0,,,,,False,False,runs
3,3.992746249847412,0.06796,3.8533594108581544,0.0896,0.01943592168390751,0.1,644.8852894645497,2.7754502296447754,77.53316879272461,resnet101,100,128,0.0001,True,46,cosine,0,,,,,False,False,runs
4,3.7046330529785156,0.11398,3.5285495628356935,0.1532,0.01288136187940836,0.1,606.3978320833364,2.7755255699157715,82.45412063598633,resnet101,100,128,0.0001,True,46,cosine,0,,,,,False,False,runs
5,3.397361661300659,0.17068,3.253300254058838,0.2013,0.01704840175807476,0.1,637.8153655853886,2.7756009101867676,78.39259243011475,resnet101,100,128,0.0001,True,46,cosine,0,,,,,False,False,runs
6,3.112717056427002,0.22436,3.0344589965820314,0.2491,0.04475577920675278,0.1,643.7380834015663,2.7756762504577637,77.67134070396423,resnet101,100,128,0.0001,True,46,cosine,0,,,,,False,False,runs
7,2.8576826428222657,0.2772,2.777727914047241,0.302,0.04269475117325783,0.1,638.4157711081319,2.7757515907287598,78.31886720657349,resnet101,100,128,0.0001,True,46,cosine,0,,,,,False,False,runs
8,2.6268446955871583,0.3234,2.597324876022339,0.3409,0.0571698322892189,0.1,639.0469272692767,2.775826930999756,78.24151539802551,resnet101,100,128,0.0001,True,46,cosine,0,,,,,False,False,runs
9,2.4265044065856936,0.36414,2.644257576370239,0.3456,0.08281552791595459,0.1,636.827072467639,2.775902271270752,78.51425004005432,resnet101,100,128,0.0001,True,46,cosine,0,,,,,False,False,runs
10,2.2650526319122313,0.40106,2.4759272731781006,0.3868,0.07852640748023987,0.1,641.850760449114,2.775977611541748,77.89972853660583,resnet101,100,128,0.0001,True,46,cosine,0,,,,,False,False,runs
11,2.123200488433838,0.42952,2.1937220079421995,0.4321,0.05690129101276398,0.1,643.254862142822,2.776052951812744,77.7296884059906,resnet101,100,128,0.0001,True,46,cosine,0,,,,,False,False,runs
12,1.9827306188964844,0.46228,2.185955731391907,0.4397,0.09986084699630737,0.1,636.4533362033264,2.7761282920837402,78.56135106086731,resnet101,100,128,0.0001,True,46,cosine,0,,,,,False,False,runs
13,1.8564036391448975,0.48916,2.1135908779144286,0.4681,0.08370852470397949,0.1,636.8676482572962,2.7762036323547363,78.50924777984619,resnet101,100,128,0.0001,True,46,cosine,0,,,,,False,False,runs
14,1.7318216282272338,0.51866,2.279645584487915,0.4807,0.07506315410137177,0.1,637.1220198195175,2.7762789726257324,78.47790288925171,resnet101,100,128,0.0001,True,46,cosine,0,,,,,False,False,runs
15,1.6140408802413941,0.54764,1.9774973733901977,0.5005,0.09011252224445343,0.1,643.8740475676125,2.7763543128967285,77.6549391746521,resnet101,100,128,0.0001,True,46,cosine,0,,,,,False,False,runs
16,1.5052299256515502,0.57228,1.8175725137710572,0.529,0.08742877840995789,0.1,643.2188383934322,2.7764296531677246,77.73404169082642,resnet101,100,128,0.0001,True,46,cosine,0,,,,,False,False,runs
17,1.4224804555511474,0.59442,1.7335496324539184,0.5424,0.06493678689002991,0.1,637.7216242838665,2.7765049934387207,78.40411567687988,resnet101,100,128,0.0001,True,46,cosine,0,,,,,False,False,runs
18,1.3363470267486572,0.61388,1.7516776247024537,0.5553,0.09842073917388916,0.1,638.272105394175,2.776580333709717,78.33649563789368,resnet101,100,128,0.0001,True,46,cosine,0,,,,,False,False,runs
19,1.2561194625854493,0.63798,2.0235400352478026,0.5645,0.10732530057430267,0.1,636.8656349140429,2.776655673980713,78.50949597358704,resnet101,100,128,0.0001,True,46,cosine,0,,,,,False,False,runs
20,1.1863410551834106,0.65358,1.6807344493865968,0.5647,0.10392917692661285,0.1,644.2516183083555,2.776731014251709,77.6094286441803,resnet101,100,128,0.0001,True,46,cosine,0,,,,,False,False,runs
21,1.1119032781600953,0.6739,1.7122669305801392,0.5615,0.10527467727661133,0.1,637.4636270072759,2.776806354522705,78.43584775924683,resnet101,100,128,0.0001,True,46,cosine,0,,,,,False,False,runs
22,1.0383021585083008,0.69186,1.6924135478973388,0.5672,0.11652640998363495,0.1,640.1885203585312,2.776881694793701,78.10199403762817,resnet101,100,128,0.0001,True,46,cosine,0,,,,,False,False,runs
23,0.9803131174468994,0.7073,1.5451889934539795,0.5993,0.11099496483802795,0.1,635.5957123656997,2.7769570350646973,78.6673538684845,resnet101,100,128,0.0001,True,46,cosine,0,,,,,False,False,runs
24,0.9228421322631836,0.71966,1.5789986503601074,0.5977,0.11827739328145981,0.1,643.7969382248363,2.7770323753356934,77.66424012184143,resnet101,100,128,0.0001,True,46,cosine,0,,,,,False,False,runs
25,0.8655175668334961,0.73666,1.5194873270988465,0.6044,0.11733151972293854,0.1,643.8435443657852,2.7771077156066895,77.65861821174622,resnet101,100,128,0.0001,True,46,cosine,0,,,,,False,False,runs
26,0.8028313362121582,0.75416,1.554455163192749,0.6094,0.13097472488880157,0.1,641.2176521267899,2.7771830558776855,77.97664308547974,resnet101,100,128,0.0001,True,46,cosine,0,,,,,False,False,runs
27,0.7634284023666382,0.7649,1.5713730651855469,0.6093,0.1344395875930786,0.1,634.6293465082157,2.7772583961486816,78.78712558746338,resnet101,100,128,0.0001,True,46,cosine,0,,,,,False,False,runs
28,0.7099494131278992,0.77956,1.4988347986221313,0.6285,0.12937398254871368,0.1,633.210284461708,2.7773337364196777,78.96270990371704,resnet101,100,128,0.0001,True,46,cosine,0,,,,,False,False,runs
29,0.6616250574493409,0.7918,1.5263261241912842,0.6265,0.1303640455007553,0.1,639.6593240186511,2.777409076690674,78.16660857200623,resnet101,100,128,0.0001,True,46,cosine,0,,,,,False,False,runs
30,0.627034918270111,0.80374,1.5968007364273071,0.616,0.14618533849716187,0.1,642.6035504082714,2.77748441696167,77.80847144126892,resnet101,100,128,0.0001,True,46,cosine,0,,,,,False,False,runs
31,0.5927699163722991,0.81244,1.6285381885528565,0.6161,0.15808512270450592,0.1,638.1155397308692,2.777559757232666,78.35622191429138,resnet101,100,128,0.0001,True,46,cosine,0,,,,,False,False,runs
32,0.5585563446235656,0.82376,1.5479044031143188,0.627,0.13728183507919312,0.1,636.733043385454,2.777635097503662,78.52584457397461,resnet101,100,128,0.0001,True,46,cosine,0,,,,,False,False,runs
33,0.5125758489990234,0.83644,1.514560587310791,0.6427,0.15036709606647491,0.1,639.931595202682,2.777710437774658,78.13335108757019,resnet101,100,128,0.0001,True,46,cosine,0,,,,,False,False,runs
34,0.47833906015396116,0.84614,1.6410360515594482,0.6215,0.1626003235578537,0.1,642.6609788908065,2.7777857780456543,77.8025152683258,resnet101,100,128,0.0001,True,46,cosine,0,,,,,False,False,runs
35,0.44960750518798825,0.85604,1.541512317085266,0.6475,0.1567484736442566,0.1,639.0682841563015,2.7778611183166504,78.2389006614685,resnet101,100,128,0.0001,True,46,cosine,0,,,,,False,False,runs
36,0.4188281170082092,0.86506,1.5789018974304199,0.6437,0.1556275337934494,0.1,640.8261529668887,2.7779364585876465,78.02428126335144,resnet101,100,128,0.0001,True,46,cosine,0,,,,,False,False,runs
37,0.3931240107822418,0.87398,1.6231072227478027,0.6324,0.1753290891647339,0.1,637.8293403102406,2.7780117988586426,78.3908748626709,resnet101,100,128,0.0001,True,46,cosine,0,,,,,False,False,runs
38,0.36544359729766845,0.8836,1.6948367458343505,0.6311,0.17944346368312836,0.1,636.372988578215,2.7780871391296387,78.57027387619019,resnet101,100,128,0.0001,True,46,cosine,0,,,,,False,False,runs
39,0.34017252647399904,0.89114,1.6386505311965942,0.6511,0.17590364813804626,0.1,642.8831449145789,2.7781624794006348,77.7746319770813,resnet101,100,128,0.0001,True,46,cosine,0,,,,,False,False,runs
40,0.3210514444351196,0.8954,1.5780506916046142,0.6522,0.1663745641708374,0.1,640.238475545942,2.778237819671631,78.09590005874634,resnet101,100,128,0.0001,True,46,cosine,0,,,,,False,False,runs
41,0.2994114675140381,0.90284,1.768129179763794,0.6368,0.18722128868103027,0.1,637.8916714699236,2.778313159942627,78.38321495056152,resnet101,100,128,0.0001,True,46,cosine,0,,,,,False,False,runs
42,0.2845001476287842,0.90766,1.6663356290817262,0.6496,0.17752714455127716,0.1,637.4536462002229,2.778388500213623,78.43807220458984,resnet101,100,128,0.0001,True,46,cosine,0,,,,,False,False,runs
43,0.25175825028419496,0.91826,1.6506402015686035,0.6511,0.1788472980260849,0.1,641.4044973332597,2.778463840484619,77.95392799377441,resnet101,100,128,0.0001,True,46,cosine,0,,,,,False,False,runs
44,0.23775159849166871,0.92338,1.7135002269744872,0.6509,0.1820322424173355,0.1,641.5428392632934,2.7785391807556152,77.93711805343628,resnet101,100,128,0.0001,True,46,cosine,0,,,,,False,False,runs
45,0.21753602449893952,0.9292,1.6360099733352662,0.6636,0.17878006398677826,0.1,635.8505107430285,2.7786145210266113,78.63483500480652,resnet101,100,128,0.0001,True,46,cosine,0,,,,,False,False,runs
46,0.18886163783550264,0.93984,1.7183402578353881,0.6545,0.18895785510540009,0.1,636.4642360581521,2.7786898612976074,78.55900955200195,resnet101,100,128,0.0001,True,46,cosine,0,,,,,False,False,runs
47,0.1773423163461685,0.94344,1.6678000618934632,0.6659,0.1854555904865265,0.1,636.5388646026595,2.7787652015686035,78.54979920387268,resnet101,100,128,0.0001,True,46,cosine,0,,,,,False,False,runs
48,0.16519832348823546,0.94734,1.7076927980422973,0.6655,0.18781152367591858,0.1,641.2570069832383,2.7788405418395996,77.97185754776001,resnet101,100,128,0.0001,True,46,cosine,0,,,,,False,False,runs
49,0.147063959608078,0.9541,1.74266607837677,0.6577,0.19636064767837524,0.1,639.2440404697315,2.7789158821105957,78.21838617324829,resnet101,100,128,0.0001,True,46,cosine,0,,,,,False,False,runs
50,0.1409289454460144,0.95662,1.7372288702964782,0.6673,0.19178156554698944,0.1,638.863033193889,2.778991222381592,78.2640368938446,resnet101,100,128,0.0001,True,46,cosine,0,,,,,False,False,runs
51,0.12364346879005432,0.96034,1.7198105640411376,0.6734,0.19180478155612946,0.1,635.4508329299103,2.779066562652588,78.68429374694824,resnet101,100,128,0.0001,True,46,cosine,0,,,,,False,False,runs
