epoch,train_loss,train_acc,val_loss,val_acc,val_ece,lr,ips,mem_GB,power_W,time_s,model,epochs,batch,wd,amp,seed,scheduler,warmup,warmup_iters,mixup,ema,randaug,channels_last,compile,optimizer,momentum,outdir
1,4.793602500305176,0.01452,4.478318975830078,0.0247,0.005633845925331116,0.1,794.4935051245511,2.775299072265625,131588.788,62.933719635009766,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 2, 'magnitude': 9}",False,False,SGD,0.9,runs
2,4.4203299659729005,0.02696,4.276258783721924,0.0396,0.012102646753191948,0.1,799.8347539884901,2.7753748893737793,132365.77199999994,62.51291251182556,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 2, 'magnitude': 9}",False,False,SGD,0.9,runs
3,4.249507119293213,0.04288,3.9824070724487304,0.0669,0.008593481965363026,0.1,797.0714835251413,2.7754502296447754,132266.75799999994,62.72963094711304,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 2, 'magnitude': 9}",False,False,SGD,0.9,runs
4,4.077213515701294,0.06226,3.8081176044464113,0.0935,0.003055932465940714,0.1,798.7608244005215,2.7755255699157715,132346.323,62.59696078300476,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 2, 'magnitude': 9}",False,False,SGD,0.9,runs
5,3.90604865234375,0.08916,3.613376780700684,0.1319,0.016660958528518677,0.1,796.7183872786433,2.7756009101867676,132275.66800000003,62.758432149887085,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 2, 'magnitude': 9}",False,False,SGD,0.9,runs
6,3.692515344238281,0.12374,3.448021744155884,0.1687,0.03958999365568161,0.1,799.0874769979413,2.7756762504577637,132277.26899999994,62.571372270584106,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 2, 'magnitude': 9}",False,False,SGD,0.9,runs
7,3.4443124518585204,0.16976,3.0422173324584962,0.241,0.03099120408296585,0.1,796.2640978838892,2.7757515907287598,132323.06799999994,62.79423689842224,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 2, 'magnitude': 9}",False,False,SGD,0.9,runs
8,3.1893948254394533,0.21464,2.8356205627441406,0.28,0.027605442330241203,0.1,796.4637173799493,2.775826930999756,132265.28399999987,62.777498722076416,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 2, 'magnitude': 9}",False,False,SGD,0.9,runs
9,2.9221940952301027,0.2638,2.674709651184082,0.3229,0.03627467900514603,0.1,795.8849725432375,2.775902271270752,132316.9880000001,62.824148178100586,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 2, 'magnitude': 9}",False,False,SGD,0.9,runs
10,2.7154430708312987,0.30326,2.5266066074371336,0.3496,0.06175435334444046,0.1,797.2260702814887,2.775977611541748,132221.60499999998,62.718467235565186,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 2, 'magnitude': 9}",False,False,SGD,0.9,runs
11,2.5204354067993164,0.34484,2.409804021835327,0.3792,0.06789875030517578,0.1,798.9613386780951,2.776052951812744,132336.63899999997,62.5812509059906,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 2, 'magnitude': 9}",False,False,SGD,0.9,runs
12,2.344279458618164,0.37784,2.24102645111084,0.4263,0.06522193551063538,0.1,799.0950982044892,2.7761282920837402,132333.81299999985,62.570775508880615,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 2, 'magnitude': 9}",False,False,SGD,0.9,runs
13,2.1914623554229737,0.41608,2.035330546379089,0.4588,0.07181684672832489,0.1,796.2118220373758,2.7762036323547363,132246.0799999999,62.797359466552734,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 2, 'magnitude': 9}",False,False,SGD,0.9,runs
14,2.0666613367462157,0.4442,1.9485965908050538,0.4817,0.07635676860809326,0.1,796.7032264639688,2.7762789726257324,132336.13399999993,62.758626222610474,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 2, 'magnitude': 9}",False,False,SGD,0.9,runs
15,1.9378818201446533,0.47294,1.9522820295333863,0.4983,0.0726792961359024,0.1,798.2660527566362,2.7763543128967285,132400.6099999999,62.63575887680054,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 2, 'magnitude': 9}",False,False,SGD,0.9,runs
16,1.8375298970794678,0.49388,1.8544440935134887,0.5068,0.07874715328216553,0.1,799.4420763817219,2.7764296531677246,132296.63999999998,62.54361820220947,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 2, 'magnitude': 9}",False,False,SGD,0.9,runs
17,1.7460487997055054,0.5171,1.7564837436676026,0.545,0.07112336158752441,0.1,799.1685560628373,2.7765049934387207,132273.113,62.56502413749695,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 2, 'magnitude': 9}",False,False,SGD,0.9,runs
18,1.6642263660430907,0.5388,1.6317683589935303,0.559,0.06994964182376862,0.1,796.0963358592154,2.776580333709717,132345.92999999993,62.806469202041626,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 2, 'magnitude': 9}",False,False,SGD,0.9,runs
19,1.5742682456207275,0.55758,1.6097467962265015,0.5802,0.07125391066074371,0.1,796.064312506017,2.776655673980713,132288.03999999992,62.809996128082275,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 2, 'magnitude': 9}",False,False,SGD,0.9,runs
