epoch,train_loss,train_acc,val_loss,val_acc,val_ece,lr,ips,mem_GB,time_s,model,epochs,batch,wd,amp,seed,scheduler,warmup,warmup_iters,mixup,ema,randaug,channels_last,compile,outdir
1,4.72232982635498,0.0175,4.377890476989746,0.0304,0.00494103878736496,0.1,705.5400262771566,2.775299072265625,70.86770153045654,resnet101,100,128,0.0001,True,43,cosine,0,,,,,False,False,runs
2,4.1374156690979005,0.05106,4.02472158126831,0.0685,0.028111102059483528,0.1,721.2808179674022,2.7753748893737793,69.3211281299591,resnet101,100,128,0.0001,True,43,cosine,0,,,,,False,False,runs
3,3.8497471119689943,0.09304,4.484622222137451,0.1124,0.039103105664253235,0.1,720.6631652168876,2.7754502296447754,69.3815393447876,resnet101,100,128,0.0001,True,43,cosine,0,,,,,False,False,runs
4,3.5758996968078613,0.13656,3.4414902431488037,0.1728,0.015226497314870358,0.1,719.3148990963178,2.7755255699157715,69.51058578491211,resnet101,100,128,0.0001,True,43,cosine,0,,,,,False,False,runs
5,3.318797428588867,0.18606,3.162067126464844,0.2154,0.036049991846084595,0.1,719.5644933513371,2.7756009101867676,69.48647475242615,resnet101,100,128,0.0001,True,43,cosine,0,,,,,False,False,runs
6,3.070044765472412,0.2342,2.95248125038147,0.2648,0.03503643348813057,0.1,719.534926608554,2.7756762504577637,69.48933005332947,resnet101,100,128,0.0001,True,43,cosine,0,,,,,False,False,runs
7,2.8453362481689455,0.2764,2.853886652755737,0.3051,0.03931750729680061,0.1,714.5515988473295,2.7757515907287598,69.97395300865173,resnet101,100,128,0.0001,True,43,cosine,0,,,,,False,False,runs
8,2.6446428776550293,0.31962,3.0433855499267577,0.3275,0.05792035162448883,0.1,716.7442976289555,2.775826930999756,69.75988531112671,resnet101,100,128,0.0001,True,43,cosine,0,,,,,False,False,runs
9,2.465264169769287,0.3578,2.482364485549927,0.3663,0.05409734323620796,0.1,721.5777441722705,2.775902271270752,69.29260277748108,resnet101,100,128,0.0001,True,43,cosine,0,,,,,False,False,runs
10,2.2932394563293457,0.39336,2.6254409687042237,0.3517,0.08780713379383087,0.1,698.3222537070474,2.775977611541748,71.60018134117126,resnet101,100,128,0.0001,True,43,cosine,0,,,,,False,False,runs
11,2.134469740524292,0.42512,2.19648420715332,0.4189,0.06124693155288696,0.1,680.0632596533495,2.776052951812744,73.52257204055786,resnet101,100,128,0.0001,True,43,cosine,0,,,,,False,False,runs
12,1.9947048767089843,0.46076,2.0908379341125487,0.4542,0.05841120705008507,0.1,720.6509811436489,2.7761282920837402,69.38171362876892,resnet101,100,128,0.0001,True,43,cosine,0,,,,,False,False,runs
13,1.862536170387268,0.48928,2.257614142417908,0.446,0.07282637059688568,0.1,723.4308655814541,2.7762036323547363,69.11610388755798,resnet101,100,128,0.0001,True,43,cosine,0,,,,,False,False,runs
14,1.7500007488250733,0.51634,1.8347048038482665,0.5095,0.05671565607190132,0.1,724.0090018211356,2.7762789726257324,69.0599148273468,resnet101,100,128,0.0001,True,43,cosine,0,,,,,False,False,runs
15,1.6378881267547607,0.53924,1.9497184843063355,0.5043,0.07950019091367722,0.1,721.5009578099712,2.7763543128967285,69.29997730255127,resnet101,100,128,0.0001,True,43,cosine,0,,,,,False,False,runs
16,1.5328251273345948,0.56504,1.7985216539382936,0.5175,0.08092391490936279,0.1,720.5711163259606,2.7764296531677246,69.38940358161926,resnet101,100,128,0.0001,True,43,cosine,0,,,,,False,False,runs
17,1.4287430298614503,0.59314,1.7587266382217408,0.5452,0.0607343353331089,0.1,723.9002886751364,2.7765049934387207,69.07028603553772,resnet101,100,128,0.0001,True,43,cosine,0,,,,,False,False,runs
18,1.344898136291504,0.61448,1.832333577156067,0.5481,0.09771265834569931,0.1,721.3651551576663,2.776580333709717,69.3130235671997,resnet101,100,128,0.0001,True,43,cosine,0,,,,,False,False,runs
19,1.2572687627792358,0.63378,1.7766090065002442,0.5494,0.09493160247802734,0.1,721.0615636216183,2.776655673980713,69.34220671653748,resnet101,100,128,0.0001,True,43,cosine,0,,,,,False,False,runs
20,1.2013136359405518,0.64892,1.667279296875,0.5778,0.0978778749704361,0.1,721.8251773545124,2.776731014251709,69.2688500881195,resnet101,100,128,0.0001,True,43,cosine,0,,,,,False,False,runs
21,1.122584342651367,0.6687,1.6277003591537476,0.5746,0.10570821911096573,0.1,721.5656905291228,2.776806354522705,69.29376029968262,resnet101,100,128,0.0001,True,43,cosine,0,,,,,False,False,runs
22,1.0705249805450439,0.68086,1.657206188774109,0.5852,0.10477161407470703,0.1,720.8076397954757,2.776881694793701,69.36663436889648,resnet101,100,128,0.0001,True,43,cosine,0,,,,,False,False,runs
23,1.0007211808013916,0.70196,1.4942242910385133,0.6009,0.10184568166732788,0.1,723.8109334268147,2.7769570350646973,69.07881283760071,resnet101,100,128,0.0001,True,43,cosine,0,,,,,False,False,runs
24,0.946510922870636,0.71536,1.518593591117859,0.6079,0.10989607870578766,0.1,721.5795417016544,2.7770323753356934,69.29243016242981,resnet101,100,128,0.0001,True,43,cosine,0,,,,,False,False,runs
25,0.8952103788757324,0.7293,1.5172722171783448,0.6141,0.11785374581813812,0.1,723.034212809271,2.7771077156066895,69.15302085876465,resnet101,100,128,0.0001,True,43,cosine,0,,,,,False,False,runs
