epoch,train_loss,train_acc,val_loss,val_acc,val_ece,lr,ips,mem_GB,power_W,time_s,model,epochs,batch,wd,amp,seed,scheduler,warmup,warmup_iters,mixup,ema,randaug,channels_last,compile,optimizer,momentum,outdir
1,4.774555985107422,0.01704,4.513806011199951,0.022,0.001789701054804027,0.1,783.579960919344,2.775299072265625,131864.5640000001,63.80969715118408,resnet101,100,128,0.0002,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
2,4.32376823272705,0.03594,4.1139398971557615,0.0533,0.0035823427606374025,0.1,792.3433219225147,2.7753748893737793,132182.28000000014,63.10395836830139,resnet101,100,128,0.0002,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
3,4.008122314605713,0.06724,3.8451315971374513,0.0949,0.012082421220839024,0.1,791.2678851122762,2.7754502296447754,132373.55899999998,63.189724922180176,resnet101,100,128,0.0002,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
4,3.7555955821990965,0.1061,3.597159366607666,0.1328,0.010589828714728355,0.1,790.7402096527563,2.7755255699157715,132284.70400000006,63.232892990112305,resnet101,100,128,0.0002,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
5,3.4960165608215332,0.1528,3.3544002471923826,0.1908,0.01221582293510437,0.1,786.6800421840007,2.7756009101867676,132667.77500000002,63.55824136734009,resnet101,100,128,0.0002,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
6,3.2343555976867675,0.2038,4.309765050506591,0.2156,0.032562315464019775,0.1,791.7896765177444,2.7756762504577637,132315.082,63.1480827331543,resnet101,100,128,0.0002,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
7,3.0044657495117186,0.24814,2.956922855377197,0.2639,0.0517164021730423,0.1,783.2022852402861,2.7757515907287598,132253.81599999996,63.84046745300293,resnet101,100,128,0.0002,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
8,2.777598251800537,0.2917,2.674602341842651,0.3113,0.04016707465052605,0.1,784.7894768264498,2.775826930999756,132327.92999999993,63.71135377883911,resnet101,100,128,0.0002,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
9,2.525808427352905,0.34408,2.4939631317138673,0.3613,0.02071942761540413,0.1,793.5153494834607,2.775902271270752,132357.71399999998,63.01075339317322,resnet101,100,128,0.0002,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
10,2.3111901762390135,0.38728,2.25071527633667,0.4112,0.03786562383174896,0.1,791.6680459453851,2.775977611541748,132314.89999999994,63.15778470039368,resnet101,100,128,0.0002,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
11,2.1280676426696776,0.42864,2.172979141998291,0.4236,0.06048120558261871,0.1,793.8569329786162,2.776052951812744,132232.31600000005,62.983640909194946,resnet101,100,128,0.0002,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
12,1.9689199158477784,0.46476,2.0670258626937867,0.4492,0.05570441484451294,0.1,791.2763670105438,2.7761282920837402,132249.8170000001,63.18904757499695,resnet101,100,128,0.0002,True,42,cosine,0,,,,,False,False,SGD,0.9,runs
