epoch,train_loss,train_acc,val_loss,val_acc,val_ece,lr,ips,mem_GB,time_s,model,epochs,batch,wd,amp,seed,scheduler,warmup,warmup_iters,mixup,ema,randaug,channels_last,compile,momentum,optimizer,_cfg_file,outdir
1,4.68512474609375,,4.577369271850586,0.0402,0.018938260152935982,0.1,790.9846296951742,2.773102283477783,63.212353467941284,resnet101,100,128,0.0005,True,46,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本 (2).yaml,runs
2,4.409578146972656,,6.628904709625244,0.0719,0.04651841148734093,0.1,810.2348150708361,2.7741551399230957,61.71050548553467,resnet101,100,128,0.0005,True,46,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本 (2).yaml,runs
3,4.2968032180786135,,4.068027919006347,0.1038,0.029245059937238693,0.1,809.5388495283282,2.774230480194092,61.76355838775635,resnet101,100,128,0.0005,True,46,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本 (2).yaml,runs
4,4.230431707763672,,3.786806269454956,0.1134,0.015662921592593193,0.1,809.1319927390509,2.774305820465088,61.794615030288696,resnet101,100,128,0.0005,True,46,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本 (2).yaml,runs
5,4.104814135055542,,3.4676621475219727,0.172,0.04335978999733925,0.1,801.4415547196955,2.774381160736084,62.38758111000061,resnet101,100,128,0.0005,True,46,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本 (2).yaml,runs
6,3.9973191307067872,,3.341277488708496,0.183,0.03469531983137131,0.1,806.8450900071072,2.77445650100708,61.9697642326355,resnet101,100,128,0.0005,True,46,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本 (2).yaml,runs
7,3.872257818145752,,2.9275534492492676,0.2677,0.06510048359632492,0.1,806.6041763098624,2.774531841278076,61.98827314376831,resnet101,100,128,0.0005,True,46,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本 (2).yaml,runs
8,3.697721679992676,,2.862973694610596,0.2742,0.04595392197370529,0.1,807.0098358672125,2.7746071815490723,61.95810604095459,resnet101,100,128,0.0005,True,46,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本 (2).yaml,runs
9,3.5882920848083497,,2.589799154281616,0.3289,0.044345587491989136,0.1,809.4020240886211,2.7746825218200684,61.77399921417236,resnet101,100,128,0.0005,True,46,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本 (2).yaml,runs
10,3.46194744140625,,2.462408219909668,0.3734,0.0865011215209961,0.1,806.5569860975422,2.7747578620910645,61.9918999671936,resnet101,100,128,0.0005,True,46,cosine_warm,5,,{'alpha': 0.8},,"{'magnitude': 14, 'num_ops': 2}",False,False,0.9,SGD,D:\8099\yaml\config - 副本 (2).yaml,runs
