epoch,train_loss,train_acc,val_loss,val_acc,val_ece,lr,ips,mem_GB,,time_s,model,epochs,batch,wd,amp,seed,scheduler,warmup,warmup_iters,mixup,ema,randaug,channels_last,compile,optimizer,momentum,outdir
1,4.830109247,,4.559527826,0.0167,0.011116201,0.1,804.2430305,2.773102283,,62.1702621,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 1.0},,,FALSE,FALSE,SGD,0.9,runs
2,4.509256941,,4.390414404,0.0267,0.003847112,0.1,810.0971065,2.77415514,,61.72099566,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 1.0},,,FALSE,FALSE,SGD,0.9,runs
3,4.391757108,,4.150356847,0.0571,0.021240855,0.1,811.9595788,2.77423048,,61.57942009,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 1.0},,,FALSE,FALSE,SGD,0.9,runs
4,4.288782457,,4.019452109,0.0645,0.008409066,0.1,809.5322278,2.77430582,,61.7640636,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 1.0},,,FALSE,FALSE,SGD,0.9,runs
5,4.204086647,,3.876631303,0.0906,0.015096207,0.1,809.4034455,2.774381161,,61.77389073,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 1.0},,,FALSE,FALSE,SGD,0.9,runs
6,4.124758375,,4.054971613,0.1035,0.019666206,0.1,811.7266452,2.774456501,,61.59709096,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 1.0},,,FALSE,FALSE,SGD,0.9,runs
7,4.029252739,,3.651768654,0.1378,0.031695947,0.1,809.2729022,2.774531841,,61.78385544,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 1.0},,,FALSE,FALSE,SGD,0.9,runs
8,3.931989448,,3.637409698,0.1746,0.056568552,0.1,809.392665,2.774607182,,61.77471352,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 1.0},,,FALSE,FALSE,SGD,0.9,runs
9,3.850390312,,3.39873304,0.1892,0.030049998,0.1,809.3699553,2.774682522,,61.77744627,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 1.0},,,FALSE,FALSE,SGD,0.9,runs
10,3.741358348,,3.175069542,0.2253,0.030501846,0.1,806.6501465,2.774757862,,61.98574018,resnet101,100,128,0.0001,TRUE,42,cosine,0,,{'alpha': 1.0},,,FALSE,FALSE,SGD,0.9,runs
