epoch,train_loss,train_acc,val_loss,val_acc,val_ece,lr,ips,mem_GB,time_s,model,epochs,batch,wd,amp,seed,scheduler,warmup,warmup_iters,mixup,ema,randaug,channels_last,compile,_cfg_file,outdir
23,1.1156616040420533,0.67478,1.3596321800231934,0.6313,0.07635247707366943,0.1,809.3686683407844,2.7769570350646973,61.77654504776001,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 1, 'magnitude': 7}",False,False,D:\8099\yaml\4.yaml,runs
24,1.0644008469390869,0.68446,1.3881742027282715,0.6214,0.08842292428016663,0.1,810.0655395952795,2.7770323753356934,61.723400831222534,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 1, 'magnitude': 7}",False,False,D:\8099\yaml\4.yaml,runs
25,1.0131665064811706,0.69796,1.32708037815094,0.6341,0.09095284342765808,0.1,806.8288491327942,2.7771077156066895,61.97101163864136,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 1, 'magnitude': 7}",False,False,D:\8099\yaml\4.yaml,runs
26,0.9682833452224732,0.71014,1.3946573440551757,0.6249,0.09394717216491699,0.1,808.360358089016,2.7771830558776855,61.853602170944214,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 1, 'magnitude': 7}",False,False,D:\8099\yaml\4.yaml,runs
27,0.9302411688613892,0.72196,1.305815358543396,0.6481,0.09830029308795929,0.1,806.8464869018333,2.7772583961486816,61.9696569442749,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 1, 'magnitude': 7}",False,False,D:\8099\yaml\4.yaml,runs
28,0.885336602973938,0.7319,1.376006348991394,0.6338,0.10836594551801682,0.1,809.655468231536,2.7773337364196777,61.75566244125366,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 1, 'magnitude': 7}",False,False,D:\8099\yaml\4.yaml,runs
29,0.8429757289505004,0.74656,1.2825255598068237,0.6538,0.09372337907552719,0.1,809.4547154028021,2.777409076690674,61.769978046417236,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 1, 'magnitude': 7}",False,False,D:\8099\yaml\4.yaml,runs
30,0.7988084078216553,0.7559,1.3859378881454467,0.6413,0.12165883928537369,0.1,809.4321678291881,2.77748441696167,61.77169871330261,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 1, 'magnitude': 7}",False,False,D:\8099\yaml\4.yaml,runs
31,0.778677685623169,0.76138,1.2830156475067138,0.6661,0.10326531529426575,0.1,808.7516864162086,2.777559757232666,61.823673248291016,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 1, 'magnitude': 7}",False,False,D:\8099\yaml\4.yaml,runs
32,0.7366232664489746,0.77386,1.2982933683395386,0.6655,0.10878177732229233,0.1,809.7856534191139,2.777635097503662,61.74473428726196,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 1, 'magnitude': 7}",False,False,D:\8099\yaml\4.yaml,runs
33,0.7072482536697388,0.78178,1.339241023826599,0.6598,0.11795859038829803,0.1,809.8765805882135,2.777710437774658,61.737802028656006,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 1, 'magnitude': 7}",False,False,D:\8099\yaml\4.yaml,runs
34,0.6756242175102234,0.79072,1.274598384284973,0.6711,0.10822661966085434,0.1,811.25803733265,2.7777857780456543,61.63267135620117,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 1, 'magnitude': 7}",False,False,D:\8099\yaml\4.yaml,runs
35,0.6366330964279174,0.80212,1.2980171159744263,0.6699,0.12154729664325714,0.1,809.7975575997624,2.7778611183166504,61.74382662773132,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 1, 'magnitude': 7}",False,False,D:\8099\yaml\4.yaml,runs
36,0.6098420779037476,0.80908,1.229615627670288,0.6891,0.10731535404920578,0.1,809.0322408115895,2.7779364585876465,61.802234172821045,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 1, 'magnitude': 7}",False,False,D:\8099\yaml\4.yaml,runs
37,0.5763433000183106,0.82086,1.314627119064331,0.6765,0.1227121353149414,0.1,809.3214758102641,2.7780117988586426,61.780147314071655,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 1, 'magnitude': 7}",False,False,D:\8099\yaml\4.yaml,runs
38,0.5534985383415222,0.82574,1.3329555422782897,0.6746,0.1272960603237152,0.1,809.6970569120139,2.7780871391296387,61.751490354537964,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 1, 'magnitude': 7}",False,False,D:\8099\yaml\4.yaml,runs
39,0.5377419010925293,0.83124,1.3692749816894532,0.6613,0.1406593918800354,0.1,808.9881395542963,2.7781624794006348,61.80560326576233,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 1, 'magnitude': 7}",False,False,D:\8099\yaml\4.yaml,runs
40,0.5101610177612305,0.83936,1.4062547803878784,0.666,0.13974933326244354,0.1,809.8343355050226,2.778237819671631,61.74102258682251,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 1, 'magnitude': 7}",False,False,D:\8099\yaml\4.yaml,runs
41,0.4860067656707764,0.84752,1.338895108318329,0.6821,0.13162319362163544,0.1,809.3176841547543,2.778313159942627,61.780436754226685,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 1, 'magnitude': 7}",False,False,D:\8099\yaml\4.yaml,runs
42,0.4598391941165924,0.85652,1.3292142669677733,0.6798,0.1393137276172638,0.1,811.5917395778876,2.778388500213623,61.60732984542847,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 1, 'magnitude': 7}",False,False,D:\8099\yaml\4.yaml,runs
43,0.43346356996536256,0.86392,1.272680933856964,0.6937,0.1262667030096054,0.1,809.065266067484,2.778463840484619,61.79971146583557,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 1, 'magnitude': 7}",False,False,D:\8099\yaml\4.yaml,runs
44,0.40971192182540894,0.86968,1.3634675335884094,0.6862,0.14503322541713715,0.1,809.6111333513911,2.7785391807556152,61.75804400444031,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 1, 'magnitude': 7}",False,False,D:\8099\yaml\4.yaml,runs
45,0.3991709415245056,0.87372,1.3850836921691894,0.6839,0.14801432192325592,0.1,809.6330063691571,2.7786145210266113,61.756375551223755,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 1, 'magnitude': 7}",False,False,D:\8099\yaml\4.yaml,runs
46,0.37088822160720825,0.8819,1.3318990181922912,0.6972,0.13838757574558258,0.1,809.3563113557706,2.7786898612976074,61.777488231658936,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 1, 'magnitude': 7}",False,False,D:\8099\yaml\4.yaml,runs
47,0.35639750671863557,0.88718,1.392522194290161,0.6904,0.1508292406797409,0.1,809.2028644199074,2.7787652015686035,61.78920292854309,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 1, 'magnitude': 7}",False,False,D:\8099\yaml\4.yaml,runs
48,0.3291805760860443,0.89516,1.3589277857780457,0.6952,0.14931537210941315,0.1,809.2446220813662,2.7788405418395996,61.786014556884766,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 1, 'magnitude': 7}",False,False,D:\8099\yaml\4.yaml,runs
49,0.3122350067615509,0.90232,1.311659079170227,0.7017,0.14442859590053558,0.1,809.2693889429021,2.7789158821105957,61.78412365913391,resnet101,100,128,0.0001,True,42,cosine,0,,,,"{'num_ops': 1, 'magnitude': 7}",False,False,D:\8099\yaml\4.yaml,runs
