epoch,train_loss,train_acc,val_loss,val_acc,val_ece,lr,ips,mem_GB,power_W,time_s,model,epochs,batch,wd,amp,seed,scheduler,warmup,warmup_iters,mixup,ema,randaug,channels_last,compile,optimizer,momentum,outdir
1,4.344294960479736,0.0506,3.8866527130126953,0.0916,0.02675476484000683,0.1,794.4813242817215,2.775299072265625,132230.8370000001,62.934141397476196,resnet101,100,128,0.0001,True,42,cosine_warm,10,,,,,False,False,SGD,0.9,runs
2,3.78443847366333,0.111,3.5029566246032715,0.1626,0.01361743826419115,0.1,799.4502376772077,2.7753748893737793,131944.9450000001,62.54297971725464,resnet101,100,128,0.0001,True,42,cosine_warm,10,,,,,False,False,SGD,0.9,runs
3,3.4394593562316893,0.16648,3.288673942947388,0.2105,0.02605368010699749,0.1,799.1709436774435,2.7754502296447754,131874.39199999996,62.56483721733093,resnet101,100,128,0.0001,True,42,cosine_warm,10,,,,,False,False,SGD,0.9,runs
4,3.124331175994873,0.22586,2.846499258804321,0.2759,0.018073026090860367,0.1,798.9104580686828,2.7755255699157715,132012.59099999987,62.58623242378235,resnet101,100,128,0.0001,True,42,cosine_warm,10,,,,,False,False,SGD,0.9,runs
5,2.7917389668273924,0.28762,2.818836505508423,0.2985,0.1095939502120018,0.1,798.7135740216996,2.7756009101867676,131899.73299999986,62.600663900375366,resnet101,100,128,0.0001,True,42,cosine_warm,10,,,,,False,False,SGD,0.9,runs
6,2.4407254919433594,0.3557,2.505544929122925,0.37,0.07819002866744995,0.1,799.3783216154948,2.7756762504577637,132031.61100000006,62.548606395721436,resnet101,100,128,0.0001,True,42,cosine_warm,10,,,,,False,False,SGD,0.9,runs
7,2.137051063079834,0.41976,2.0800311405181886,0.4427,0.06285084038972855,0.1,801.4277357581834,2.7757515907287598,131865.41599999997,62.38865685462952,resnet101,100,128,0.0001,True,42,cosine_warm,10,,,,,False,False,SGD,0.9,runs
8,1.9214778189849853,0.47004,1.9949591512680054,0.4641,0.06132124364376068,0.1,801.81888127946,2.775826930999756,132078.74800000008,62.358222246170044,resnet101,100,128,0.0001,True,42,cosine_warm,10,,,,,False,False,SGD,0.9,runs
9,1.7311513848876954,0.51684,1.8729925773620606,0.4952,0.05073268711566925,0.1,798.5263858145387,2.775902271270752,132034.99600000007,62.61533856391907,resnet101,100,128,0.0001,True,42,cosine_warm,10,,,,,False,False,SGD,0.9,runs
10,1.6011848498916625,0.54794,1.6970493129730224,0.5309,0.054010920226573944,0.1,799.0778951279153,2.775977611541748,132076.97000000012,62.57212257385254,resnet101,100,128,0.0001,True,42,cosine_warm,10,,,,,False,False,SGD,0.9,runs
11,1.4899867743682862,0.57404,1.8918411285400392,0.5097,0.10041336715221405,0.1,799.4423293245242,2.776052951812744,131894.70400000009,62.54359841346741,resnet101,100,128,0.0001,True,42,cosine_warm,10,,,,,False,False,SGD,0.9,runs
12,1.3699358169174194,0.6052,1.561402066230774,0.5636,0.06842557340860367,0.1,801.4410340498289,2.7761282920837402,132031.58800000005,62.38862180709839,resnet101,100,128,0.0001,True,42,cosine_warm,10,,,,,False,False,SGD,0.9,runs
13,1.2611849905776977,0.63244,1.6609373615264893,0.5518,0.11971449851989746,0.1,798.6075000678786,2.7762036323547363,132053.759,62.60897874832153,resnet101,100,128,0.0001,True,42,cosine_warm,10,,,,,False,False,SGD,0.9,runs
14,1.17388175655365,0.65382,1.5478840126037599,0.5777,0.09367062151432037,0.1,801.8881863000041,2.7762789726257324,131936.19900000002,62.35283279418945,resnet101,100,128,0.0001,True,42,cosine_warm,10,,,,,False,False,SGD,0.9,runs
15,1.0933152745819092,0.67402,1.4647166854858398,0.6045,0.08402848243713379,0.1,801.6386002575814,2.7763543128967285,132154.56599999996,62.3722460269928,resnet101,100,128,0.0001,True,42,cosine_warm,10,,,,,False,False,SGD,0.9,runs
16,1.021830090675354,0.6957,1.5156796453475951,0.5985,0.10846687108278275,0.1,801.6589444766304,2.7764296531677246,132065.56500000006,62.37066316604614,resnet101,100,128,0.0001,True,42,cosine_warm,10,,,,,False,False,SGD,0.9,runs
17,0.9746524937820434,0.70758,1.4531913473129272,0.6111,0.10984557121992111,0.1,801.3420363750207,2.7765049934387207,132300.1960000001,62.395328998565674,resnet101,100,128,0.0001,True,42,cosine_warm,10,,,,,False,False,SGD,0.9,runs
18,0.9192582686614991,0.72238,1.4612818923950195,0.6108,0.11491871625185013,0.1,801.6028080928204,2.776580333709717,132193.68600000002,62.37503099441528,resnet101,100,128,0.0001,True,42,cosine_warm,10,,,,,False,False,SGD,0.9,runs
19,0.8640615664291382,0.73848,1.3868679468154907,0.6372,0.1064339429140091,0.1,801.5118329829111,2.776655673980713,132172.56700000007,62.382110834121704,resnet101,100,128,0.0001,True,42,cosine_warm,10,,,,,False,False,SGD,0.9,runs
20,0.8096394997787476,0.75334,1.3597594623565674,0.6406,0.09703312814235687,0.1,801.5257620640854,2.776731014251709,132188.84100000007,62.38102674484253,resnet101,100,128,0.0001,True,42,cosine_warm,10,,,,,False,False,SGD,0.9,runs
21,0.7727762679290772,0.76182,1.4204089958190917,0.6338,0.11560533940792084,0.1,800.8344112660261,2.776806354522705,132067.8509999999,62.434879541397095,resnet101,100,128,0.0001,True,42,cosine_warm,10,,,,,False,False,SGD,0.9,runs
22,0.7345626359939575,0.773,1.3481947057724,0.6461,0.10904306918382645,0.1,802.4510688885612,2.776881694793701,132130.43700000006,62.30909514427185,resnet101,100,128,0.0001,True,42,cosine_warm,10,,,,,False,False,SGD,0.9,runs
